"module name","license","repository"
"@changesets/cli@2.29.4","MIT","https://github.com/changesets/changesets/tree/main/packages/cli"
"@contentful/content-source-maps@0.11.17","MIT","https://github.com/contentful/live-preview"
"@contentful/live-preview@4.6.19","MIT","https://github.com/contentful/live-preview"
"@contentful/rich-text-html-renderer@17.0.0","MIT","https://github.com/contentful/rich-text"
"@contentful/rich-text-types@17.0.0","MIT","https://github.com/contentful/rich-text"
"@eslint/eslintrc@3.3.1","MIT","https://github.com/eslint/eslintrc"
"@googlemaps/js-api-loader@1.16.8","Apache-2.0","https://github.com/googlemaps/js-api-loader"
"@gtm-support/vue-gtm@3.1.0","MIT","https://github.com/gtm-support/vue-gtm"
"@intlify/eslint-plugin-vue-i18n@4.0.1","MIT","https://github.com/intlify/eslint-plugin-vue-i18n"
"@intlify/unplugin-vue-i18n@6.0.8","MIT","https://github.com/intlify/bundle-tools"
"@intlify/vue-i18n-extensions@8.0.0","MIT","https://github.com/intlify/vue-i18n-extensions"
"@nuxt/cli@3.25.1","MIT","https://github.com/nuxt/cli"
"@nuxt/devalue@2.0.2","MIT","https://github.com/nuxt/devalue"
"@nuxt/devtools-kit@2.4.1","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools-wizard@2.4.1","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools@2.4.1","MIT","https://github.com/nuxt/devtools"
"@nuxt/eslint-config@1.4.1","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint-plugin@1.4.1","MIT","https://github.com/nuxt/eslint"
"@nuxt/eslint@1.4.1","MIT","https://github.com/nuxt/eslint"
"@nuxt/fonts@0.11.4","MIT","https://github.com/nuxt/fonts"
"@nuxt/image@1.10.0","MIT","https://github.com/nuxt/image"
"@nuxt/kit@3.16.2","MIT","https://github.com/nuxt/nuxt"
"@nuxt/schema@3.16.2","MIT","https://github.com/nuxt/nuxt"
"@nuxt/telemetry@2.6.6","MIT","https://github.com/nuxt/telemetry"
"@nuxt/test-utils@3.18.0","MIT","https://github.com/nuxt/test-utils"
"@nuxt/vite-builder@3.16.2","MIT","https://github.com/nuxt/nuxt"
"@nuxtjs/i18n@9.5.4","MIT","https://github.com/nuxt-modules/i18n"
"@nuxtjs/tailwindcss@6.14.0","MIT","https://github.com/nuxt-modules/tailwindcss"
"@parcel/watcher@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@scayle/eslint-config-storefront@4.5.3","MIT","https://github.com/scayle/eslint-config-storefront"
"@scayle/eslint-plugin-vue-composable@0.2.1","MIT",""
"@scayle/nuxt-image-provider@0.3.1","MIT","https://github.com/scayle/nuxt-image-provider"
"@scayle/nuxt-opentelemetry@0.13.6","MIT","https://github.com/scayle/nuxt-opentelemetry"
"@scayle/omnichannel-nuxt@4.3.2","MIT",""
"@scayle/prettier-config-storefront@2.0.2","MIT",""
"@scayle/storefront-application-nuxt@1.9.1","UNLICENSED",""
"@scayle/storefront-basket@0.3.0","MIT",""
"@scayle/storefront-country-detection@2.0.0","MIT",""
"@scayle/storefront-navigation@0.3.0","MIT",""
"@scayle/storefront-nuxt@8.28.3","MIT","https://github.com/scayle/storefront-nuxt"
"@scayle/storefront-product-detail@1.4.2","MIT",""
"@scayle/storefront-product-listing@1.6.2","MIT",""
"@scayle/storefront-promotions@2.2.0","MIT",""
"@scayle/storefront-search@0.3.0","MIT",""
"@scayle/unstorage-compression-driver@0.2.7","MIT","https://github.com/scayle/unstorage-compression-driver"
"@scayle/unstorage-scayle-kv-driver@0.1.2","MIT","https://github.com/scayle/unstorage-scayle-kv-driver"
"@storyblok/nuxt@7.0.0","MIT*","https://github.com/storyblok/storyblok-nuxt"
"@storyblok/richtext@3.2.0","MIT","https://github.com/storyblok/richtext"
"@storyblok/vue@9.0.0","MIT","https://github.com/storyblok/storyblok-vue"
"@tailwindcss/forms@0.5.10","MIT","https://github.com/tailwindlabs/tailwindcss-forms"
"@tailwindcss/typography@0.5.16","MIT","https://github.com/tailwindlabs/tailwindcss-typography"
"@testing-library/jest-dom@6.6.3","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/vue@8.1.0","MIT","https://github.com/testing-library/vue-testing-library"
"@types/color@4.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/google.maps@3.58.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@22.15.27","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript-eslint/scope-manager@8.33.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/utils@8.33.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@unhead/vue@2.0.10","MIT","https://github.com/unjs/unhead"
"@upstash/redis@1.34.9","MIT","https://github.com/upstash/upstash-redis"
"@vercel/kv@3.0.0","Apache-2.0","https://github.com/vercel/storage"
"@vitejs/plugin-vue-jsx@4.2.0","MIT","https://github.com/vitejs/vite-plugin-vue"
"@vitejs/plugin-vue@5.2.4","MIT","https://github.com/vitejs/vite-plugin-vue"
"@vitest/coverage-v8@3.1.4","MIT","https://github.com/vitest-dev/vitest"
"@vue-macros/common@1.16.1","MIT","https://github.com/vue-macros/vue-macros"
"@vue/babel-helper-vue-transform-on@1.4.0","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/babel-plugin-jsx@1.4.0","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/babel-plugin-resolve-type@1.4.0","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/compiler-core@3.5.14","MIT","https://github.com/vuejs/core"
"@vue/compiler-dom@3.5.14","MIT","https://github.com/vuejs/core"
"@vue/compiler-sfc@3.5.14","MIT","https://github.com/vuejs/core"
"@vue/compiler-ssr@3.5.14","MIT","https://github.com/vuejs/core"
"@vue/compiler-vue2@2.7.16","MIT","https://github.com/vuejs/vue"
"@vue/devtools-api@6.6.4","MIT","https://github.com/vuejs/vue-devtools"
